arch,seed,prior_precision,hessian_structure,temperature,link_approx,rotation,nll_id,ece_id,acc_id,brier_id,nll_ood,ece_ood,acc_ood,brier_ood
widelenet,42,1e-06,diag,0.5,probit,180,0.057649511843919754,0.02332250587642193,0.9908000230789185,0.020899659022688866,3.0043389797210693,0.3395627737045288,0.37299999594688416,0.9764384031295776
widelenet,123,1e-06,diag,0.5,probit,5,0.06404314190149307,0.02759639173746109,0.9911999702453613,0.02229251340031624,0.09144578129053116,0.03392732888460159,0.9854000210762024,0.03406362980604172
widelenet,123,1e-06,diag,0.5,probit,15,0.06404314190149307,0.02759639173746109,0.9911999702453613,0.02229251340031624,0.15503181517124176,0.051413096487522125,0.9721999764442444,0.06059254705905914
widelenet,123,1e-06,diag,0.5,probit,30,0.06404314190149307,0.02759639173746109,0.9911999702453613,0.02229251340031624,0.4755622148513794,0.07668069750070572,0.8862000107765198,0.19807036221027374
widelenet,123,1e-06,diag,0.5,probit,45,0.06404314190149307,0.02759639173746109,0.9911999702453613,0.02229251340031624,1.226577877998352,0.09808777272701263,0.6790000200271606,0.4927067756652832
widelenet,123,1e-06,diag,0.5,probit,60,0.06404314190149307,0.02759639173746109,0.9911999702453613,0.02229251340031624,2.0438926219940186,0.10056739300489426,0.42170000076293945,0.7839387655258179
widelenet,123,1e-06,diag,0.5,probit,90,0.06404314190149307,0.02759639173746109,0.9911999702453613,0.02229251340031624,2.974090337753296,0.24932609498500824,0.18129999935626984,1.020679235458374
widelenet,123,1e-06,diag,0.5,probit,120,0.06404314190149307,0.02759639173746109,0.9911999702453613,0.02229251340031624,3.2863500118255615,0.29458776116371155,0.258899986743927,1.0498113632202148
widelenet,123,1e-06,diag,0.5,probit,160,0.06404314190149307,0.02759639173746109,0.9911999702453613,0.02229251340031624,3.3402750492095947,0.3717859983444214,0.3296999931335449,1.0306602716445923
widelenet,123,1e-06,diag,0.5,probit,180,0.06404314190149307,0.02759639173746109,0.9911999702453613,0.02229251340031624,3.4826672077178955,0.34387996792793274,0.38029998540878296,0.9737288951873779
widelenet,0,1e-06,diag,0.5,bridge,5,11.420478820800781,0.5832222700119019,0.392300009727478,1.182703971862793,11.643903732299805,0.6112745404243469,0.36660000681877136,1.2362961769104004
widelenet,0,1e-06,diag,0.5,bridge,15,11.420478820800781,0.5832222700119019,0.392300009727478,1.182703971862793,9.206972122192383,0.5747953057289124,0.3946000039577484,1.163633942604065
widelenet,0,1e-06,diag,0.5,bridge,30,11.420478820800781,0.5832222700119019,0.392300009727478,1.182703971862793,10.926241874694824,0.6382514238357544,0.32820001244544983,1.2957500219345093
widelenet,0,1e-06,diag,0.5,bridge,45,11.420478820800781,0.5832222700119019,0.392300009727478,1.182703971862793,13.839858055114746,0.7335382699966431,0.2272000014781952,1.4914593696594238
widelenet,0,1e-06,diag,0.5,bridge,60,11.420478820800781,0.5832222700119019,0.392300009727478,1.182703971862793,16.420095443725586,0.8062189221382141,0.1518000066280365,1.6383858919143677
widelenet,0,1e-06,diag,0.5,bridge,90,11.420478820800781,0.5832222700119019,0.392300009727478,1.182703971862793,21.05609893798828,0.886414647102356,0.08139999955892563,1.793094277381897
widelenet,0,1e-06,diag,0.5,bridge,120,11.420478820800781,0.5832222700119019,0.392300009727478,1.182703971862793,17.70314598083496,0.8256675601005554,0.12240000069141388,1.6787852048873901
widelenet,0,1e-06,diag,0.5,bridge,160,11.420478820800781,0.5832222700119019,0.392300009727478,1.182703971862793,16.380268096923828,0.8124966025352478,0.13429999351501465,1.6525627374649048
widelenet,0,1e-06,diag,0.5,bridge,180,11.420478820800781,0.5832222700119019,0.392300009727478,1.182703971862793,18.14643096923828,0.8131585717201233,0.1509000062942505,1.64579439163208
widelenet,42,1e-06,diag,0.5,bridge,5,13.403016090393066,0.6227759122848511,0.35690000653266907,1.2584177255630493,13.346924781799316,0.6352531313896179,0.3427000045776367,1.2844148874282837
widelenet,42,1e-06,diag,0.5,bridge,15,13.403016090393066,0.6227759122848511,0.35690000653266907,1.2584177255630493,11.579010009765625,0.5999885201454163,0.37400001287460327,1.2154325246810913
widelenet,42,1e-06,diag,0.5,bridge,30,13.403016090393066,0.6227759122848511,0.35690000653266907,1.2584177255630493,12.000283241271973,0.6305529475212097,0.33640000224113464,1.280517339706421
widelenet,42,1e-06,diag,0.5,bridge,45,13.403016090393066,0.6227759122848511,0.35690000653266907,1.2584177255630493,14.470086097717285,0.7196173667907715,0.23999999463558197,1.4649980068206787
widelenet,42,1e-06,diag,0.5,bridge,60,13.403016090393066,0.6227759122848511,0.35690000653266907,1.2584177255630493,16.218271255493164,0.797308623790741,0.1543000042438507,1.623582363128662
widelenet,42,1e-06,diag,0.5,bridge,90,13.403016090393066,0.6227759122848511,0.35690000653266907,1.2584177255630493,19.429882049560547,0.836652398109436,0.125,1.6943796873092651
widelenet,42,1e-06,diag,0.5,bridge,120,13.403016090393066,0.6227759122848511,0.35690000653266907,1.2584177255630493,18.159753799438477,0.8110380172729492,0.1485999971628189,1.644059181213379
widelenet,42,1e-06,diag,0.5,bridge,160,13.403016090393066,0.6227759122848511,0.35690000653266907,1.2584177255630493,13.722234725952148,0.6883118748664856,0.2581999897956848,1.4096664190292358
